PlayerGagged,,,Pacified big babies sound adorable when they try to talk.,,
BadBaby,,,You've been a bad baby.  you will stay like that until I think you are ready to apologize.,,
ItemMouth,,,"(She first shakes her head to avoid the gag, but finally surrenders as you silence her.)",,
RemoveItemMouth,,,"(You remove her gag while she stretches her mouth.)  Thanks Miss, it's hard to dispatch maids with that gag.",,
ItemArms,,,(She sighs and turns around while you restrain her arms.)  It might be a little hard to work like that Miss.,,
RemoveItemArms,,,(You free her arms and she nods happily.)  Thanks a lot Miss.,,
ItemLegs,,,(She submits to you while you restrain her legs securely.)  I don't need to move anyway.,,
RemoveItemLegs,,,(You release her legs from the restraint.)  Let me know if I can help you Miss.,,
ItemFeet,,,(She looks puzzled as you restrain her feet.)  I'll stay on guard here Miss.,,
RemoveItemFeet,,,"(You release her feet and she wiggles them.)  Thanks Miss, it was troublesome.",,
ItemNeck,,,(You strap the collar on her while she blushes.)  You're quite a Dominant Miss.,,
RemoveItemNeck,,,(You remove the collar around her neck.)  Thanks Miss.,,
ItemPelvis,,,(You snap the belt around her waist and crotch while she sighs.)  No more fun for the crew.,,
RemoveItemPelvis,,,(You unlock the belt from her waist and she smiles.)  Thanks a lot Miss DialogPlayerName.,,
ItemHead,,,(You strap the device on her head as she nods slowly.)  This will not make my job easier Miss.,,
RemoveItemHead,,,"(You remove the device and she nods rapidly.)  Thanks a million, this is much better.",,
ItemTorsoLeatherWhip,,,(She jumps from the searing pain on her breast.)  Ouch!  Miss Head Maid!,,
ItemTorsoLeatherCrop,,,(You whip her breast with the leather crop as she whimpers and bows her head.),,
ItemPelvisLeatherWhip,,,(You whip her butt hard as she sighs.)  I promise I'll work harder Miss Head Maid.,,
ItemPelvisLeatherCrop,,,(She grumbles as you strike her butt with the crop.)  A maid work isn't easy.,,
0,,,Welcome to the Nursery.  How can I help you?,,
0,,"Hello, I'm DialogPlayerName.  Pleased to meet you.","Pleased to meet you too.  I'm DialogCharacterName, I'm one of the nurses.",DialogRemove(),"DialogReputationLess(""ABDL"", 9)"
0,5,What is this place?,"This is the nursery, setup as a safe environment for adult babies in need of some motherly compassion, fun and discipline.",,
0,10,May I join the nursery?,"Of course, we are always welcoming to good little boys and girls.  You are aware of what the nursery's requirements of those in its care?",,"DialogReputationLess(""ABDL"", 0)"
0,20,I'm ready to join the nursery again.,"Wonderful, have you rembered the $10 fee for diapers?",,"DialogReputationGreater(""ABDL"", 1)"
0,3,Who runs this nursery?,Nurses like myself look after the adult babies.  We are supervised by the nursery's matrons.,,
0,,I can't stay to chat.  (Leave her.),,DialogLeave(),
0,,(Money.),,DialogChangeMoney(200),
0,,(Freedom.),granted,"DialogRemoveItem(""ItemMouth"")",!Player.CanTalk()
0,,Freedom.,granted,"DialogRemoveItem(""ItemArms"")",Player.CanTalk()
0,,ReduceRep,ABDL rep -1,"DialogChangeReputation(""ABDL"", -1)",
1,,I want some mittens,Certainly.  (She slips thumbless padded mittens over your hands and buckels them snuggly secure aroud your wrists.),"DialogWearItem(""PaddedMittens"", ""ItemArms"")",Player.CanTalk()
1,,Can you help take off now?,I suppsoe I can unbuckle them.  Don't go cause any mischief now will you.,"DialogRemoveItem(""ItemArms"")",Player.CanTalk()
1,,Got anything else?,I have something special for you.  (She padlocks your hands inside thumbless padded mittens.),"DialogWearItem(""PaddedMittensLocked"", ""ItemArms"")",Player.CanTalk()
1,,"I wanna pwitty dwess, pwease.","Certainly, your are going to look adorable.  (She removes your clothes, selects a dress and helps you into it.","DialogWearItem(""AdultBabyDress1"", ""Cloth"")",
1,,Bitty?,Maybe latter if you are very good.  You can such on this for now.  (She pops a pacifier into your mouth.),"DialogWearItem(""PacifierGag"", ""ItemMouth"")",Player.CanTalk()
1,,(Whimper and cry.),What is the matter sweetie?  (She removes your gag.),"DialogRemoveItem(""ItemMouth"")",!Player.CanTalk()
1,,This stinks.,Where did you get such a dirty mouth?  (She pushes a pacifier in your mouth with a harness atached to hold it firmly in place.),"DialogWearItem(""HarnessPacifierGag"", ""ItemMouth"")",Player.CanTalk()
1,0,Thank you.,Run along now and remember to behave yourself this time.,,Player.CanTalk()
1,0,(Curtsey to her.),,,!Player.CanTalk()
3,,Can I become a nurse?,We are not hiring nurses at the moment.  When we do we only hire club memebers with good repultations in the nursery and the maid sorority.,,
3,,Can I become a matron?,Only the top nurses are ever granted that privilege.,,
3,,Ooh Matron.,Carry on like that and you will feel a painsy-wainsy in your botty-wotty!,,
3,,Would I have to wear a uniform.,This uniform is mandatory for the nurses working here.  The matrons have a choice of uniforms.,,
3,0,I'll bear that in mind.,"If we do start hiring, we will put a notice up.",,
5,,Who would want that?,You would be surprised and we don't judge our charges.  Even some of the most dominant kidnappers also like a cuddle and nap time.,,
5,,I though this place was a bondage club.,It is indeed.  We can use a variety of items and methods to ensure our adult babies are always on their best behaviour.,,
5,,"Intriguing, do tell me more.","Club members can join in with our other adult babies, play in the nursery and be looked after by the nurses.",,
5,,Is this place just for people with that fetish?,We will also provide a time out discipline service for trouble makers. We could also prep or provide full care for slaves and failed kidnappers.,,
5,0,I want to talk about something else.,What can I help you with?,,
10,50,Yes.,"Good, that will be $10 and I will help get you ready.",,
10,12,No.,The primary requirement is diapers.  They are mandatory on entry and a fresh diaper must be purchased for each visit.  They cost $10,,
10,0,I don't want to join.,Make up your mind or do you really need someone to care and help make those difficult decisions for you?,,
12,14,"Okay, what else is there?","We don't allow big girl clothes either.  You can just wear diapers, but we have a super selection lovely dresses you can wear.",,
12,,Why the fee?,This place is not cheap to run.  The price for the diapers covers other running cost.,,
12,,What do you mean by a fresh diaper every visit?,It would be increadibly irresposible of us to risk putting a big babie in soiled diapers just to save a few dollars.,,
12,,Diapers? You are kidding me right?,Sorry but it is in the rules.  We wouldn't want an adult babie having a whoopsie and making a horrid mess.,,
12,0,This is not the place for me.,That's okay.  Let me know if you change your mind.,,"DialogReputationLess(""ABDL"", 0)"
14,16,Is there just a dress code?,"No, this is peacful place.  Adult babies can talk, although many prefer pacifiers.  However we will not tolerate disruptive behaviour.",,
14,,What about clothes for boys?,"They also wear dresses in here.  In a pre-victorian nurseries, young boys were unbreeched and wore dresses, just like the girls.",,
14,,Why dresses?,To look gorgeous of course and these dresses have high hemlines so it's easier for us to check there aren't any dirty diapers.,,
14,,What about shorts or T shirts?,"Goodness me, certainly not.  We take great pride in making sure the adult babies in our care always look thier best.",,
14,0,No way am I dressing like that.,That's a shame.  I'm sure you would have looked fabulous. ,,
16,18,I Understand.  Is there anything else?,"Adult babies can wonder around the club, but we don't advise it so we fitted a safety gate to the door to keep helpless babies safe inside.",,
16,,What if I want to play rough?,"We encourage you to play with each other, but play nicely or you will feel the sting of a hairbrush on your tooshie.",,
16,,I'll cry if I want to.,"Of course and we will do our best to comfort those in distressed, but we don't allow riotous behaviour that upsets others.",,
16,,What about bondage?,"That is fine as long you are all playing happy, although some items are hardly suitable for in here.  The nursery has some more appropriate restraints.",,
